,age,field_of_study,gender,high_keyboard_experience,high_teleop_experience,interface,is_adapted,keyboard_experience,mechanism,method,model,number_of_refinements,number_of_updates,old,participant_number,refinement_time,right_handed,technical,teleop_experience,training_time,workload
0,24,IPO,False,False,False,keyboard,True,0,online,OnKey,1,7,5,False,1,278.12597274780273,True,True,0,132.6311740875244,13.0
1,24,IPO,False,False,False,keyboard,True,0,online,OnKey,2,4,1,False,1,353.9891052246094,True,True,0,132.6311740875244,13.0
2,24,IPO,False,False,False,keyboard,True,0,online,OnKey,3,1,1,False,1,40.93989181518555,True,True,0,132.6311740875244,13.0
3,24,IPO,False,False,False,keyboard,True,0,offline,OffKey,1,4,2,False,1,362.21087646484375,True,True,0,463.959623336792,39.0
4,24,IPO,False,False,False,keyboard,True,0,offline,OffKey,2,1,1,False,1,77.1531982421875,True,True,0,463.959623336792,39.0
5,24,IPO,False,False,False,keyboard,True,0,offline,OffKey,3,1,1,False,1,82.74327087402344,True,True,0,463.959623336792,39.0
6,24,IPO,False,False,False,omni,True,0,online,OnOm,1,2,1,False,1,82.89120483398438,True,True,0,199.5880994796753,8.0
7,24,IPO,False,False,False,omni,True,0,online,OnOm,2,2,2,False,1,56.282772064208984,True,True,0,199.5880994796753,8.0
8,24,IPO,False,False,False,omni,True,0,online,OnOm,3,2,1,False,1,129.39877319335938,True,True,0,199.5880994796753,8.0
9,24,IPO,False,False,False,omni,True,0,offline,OffOm,1,2,2,False,1,174.96705627441406,True,True,0,130.63376665115356,10.0
10,24,IPO,False,False,False,omni,True,0,offline,OffOm,2,1,1,False,1,93.01724243164062,True,True,0,130.63376665115356,10.0
11,24,IPO,False,False,False,omni,True,0,offline,OffOm,3,1,1,False,1,82.29498291015625,True,True,0,130.63376665115356,10.0
12,25,Robotics Engineering,True,True,False,keyboard,True,5,online,OnKey,1,6,5,False,2,193.32734298706055,True,True,1,132.6311740875244,39.0
13,25,Robotics Engineering,True,True,False,keyboard,True,5,online,OnKey,2,4,4,False,2,109.31380653381348,True,True,1,132.6311740875244,39.0
14,25,Robotics Engineering,True,True,False,keyboard,True,5,online,OnKey,3,8,5,False,2,344.4220390319824,True,True,1,132.6311740875244,39.0
15,25,Robotics Engineering,True,True,False,keyboard,True,5,offline,OffKey,1,6,5,False,2,415.9155158996582,True,True,1,463.959623336792,41.0
16,25,Robotics Engineering,True,True,False,keyboard,True,5,offline,OffKey,2,1,1,False,2,111.13174438476562,True,True,1,463.959623336792,41.0
17,25,Robotics Engineering,True,True,False,keyboard,True,5,offline,OffKey,3,2,1,False,2,252.3811798095703,True,True,1,463.959623336792,41.0
18,25,Robotics Engineering,True,True,False,omni,True,5,online,OnOm,1,2,2,False,2,53.36204719543457,True,True,1,199.5880994796753,33.0
19,25,Robotics Engineering,True,True,False,omni,True,5,online,OnOm,2,3,2,False,2,96.62427520751953,True,True,1,199.5880994796753,33.0
20,25,Robotics Engineering,True,True,False,omni,True,5,online,OnOm,3,5,3,False,2,148.7716827392578,True,True,1,199.5880994796753,33.0
21,25,Robotics Engineering,True,True,False,omni,True,5,offline,OffOm,1,3,3,False,2,202.61668014526367,True,True,1,212.90396785736084,27.0
22,25,Robotics Engineering,True,True,False,omni,True,5,offline,OffOm,2,6,3,False,2,381.91719818115234,True,True,1,212.90396785736084,27.0
23,25,Robotics Engineering,True,True,False,omni,True,5,offline,OffOm,3,1,1,False,2,67.02597045898438,True,True,1,212.90396785736084,27.0
24,27,BME,True,False,False,keyboard,True,3,online,OnKey,1,2,2,False,3,76.93290328979492,True,True,0,203.83567690849304,34.0
25,27,BME,True,False,False,keyboard,True,3,online,OnKey,2,3,2,False,3,149.74925231933594,True,True,0,203.83567690849304,34.0
26,27,BME,True,False,False,keyboard,True,3,online,OnKey,3,2,2,False,3,90.00791931152344,True,True,0,203.83567690849304,34.0
27,27,BME,True,False,False,keyboard,True,3,offline,OffKey,1,3,2,False,3,391.37062072753906,True,True,0,621.6613020896912,19.0
28,27,BME,True,False,False,keyboard,True,3,offline,OffKey,2,2,2,False,3,265.21449279785156,True,True,0,621.6613020896912,19.0
29,27,BME,True,False,False,keyboard,True,3,offline,OffKey,3,4,2,False,3,489.2313690185547,True,True,0,621.6613020896912,19.0
30,27,BME,True,False,False,omni,True,3,online,OnOm,1,2,2,False,3,59.437002182006836,True,True,0,128.25344252586365,25.0
31,27,BME,True,False,False,omni,True,3,online,OnOm,2,2,2,False,3,66.69717979431152,True,True,0,128.25344252586365,25.0
32,27,BME,True,False,False,omni,True,3,online,OnOm,3,2,2,False,3,61.68134689331055,True,True,0,128.25344252586365,25.0
33,27,BME,True,False,False,omni,False,3,offline,OffOm,1,9,8,False,3,,True,True,0,481.69323563575745,46.0
34,27,BME,True,False,False,omni,True,3,offline,OffOm,2,3,3,False,3,411.6335754394531,True,True,0,481.69323563575745,46.0
35,27,BME,True,False,False,omni,True,3,offline,OffOm,3,8,4,False,3,784.9102783203125,True,True,0,481.69323563575745,46.0
36,47,Software,True,False,False,keyboard,True,0,online,OnKey,1,3,2,True,4,124.3632926940918,True,True,0,201.31632256507874,53.0
37,47,Software,True,False,False,keyboard,True,0,online,OnKey,2,4,2,True,4,198.04484176635742,True,True,0,201.31632256507874,53.0
38,47,Software,True,False,False,keyboard,True,0,online,OnKey,3,4,4,True,4,126.16482353210449,True,True,0,201.31632256507874,53.0
39,47,Software,True,False,False,keyboard,True,0,offline,OffKey,1,4,3,True,4,608.2766418457031,True,True,0,605.4569661617279,37.0
40,47,Software,True,False,False,keyboard,True,0,offline,OffKey,2,1,1,True,4,137.14198303222656,True,True,0,605.4569661617279,37.0
41,47,Software,True,False,False,keyboard,True,0,offline,OffKey,3,1,1,True,4,74.8366470336914,True,True,0,605.4569661617279,37.0
